Date,Price (USD),Market Cap,Volume
2024-06-30,0.38524275173155864,13648967921.897448,185204567.78934976
2024-06-30,0.39250667594321,13895388583.997906,193794551.5937914
2024-07-01,0.3916219616930307,13888718240.596895,196424144.0107561
2024-07-01,0.3930488778055078,13928792561.811182,197523553.28580728
2024-07-01,0.39840452843219565,14112567184.56374,202999265.94088998
2024-07-01,0.39849834448620575,14107058882.945282,204343070.1427691
2024-07-01,0.39912361060136514,14140109812.170197,213516108.25595024
2024-07-01,0.39867240782989094,14135680270.26301,218301732.0258095
2024-07-01,0.3977642881823209,14076950421.537588,221722516.13672155
2024-07-01,0.39608698388715696,14049949208.887917,223526880.1923703
2024-07-01,0.3974278328537476,14080679565.049568,219552789.417972
2024-07-01,0.3992224328816679,14144261392.62095,221246628.37237588
2024-07-01,0.4006134304369477,14225308476.338928,227197530.54408222
2024-07-01,0.40089766826164935,14203614187.346413,228913608.57166106
2024-07-01,0.39919143570889226,14142838200.811249,233337111.35626432
2024-07-01,0.4003404188275793,14164844321.822392,235806587.48292238
2024-07-01,0.3996401352837454,14158956144.361366,240745479.5460792
2024-07-01,0.4003412140773956,14163034245.083954,247322364.665572
2024-07-01,0.4017789797327244,14221926655.715376,250149047.75824377
2024-07-01,0.40408578743966,14338422794.509478,256814480.82850447
2024-07-01,0.4064081720145125,14409175874.386625,262517502.17441902
2024-07-01,0.40395208086928447,14347895578.01705,264784025.01255903
2024-07-01,0.4053945958535639,14309937664.527143,269704814.499411
2024-07-01,0.4059981054586935,14383035140.872288,262762880.83693042
2024-07-01,0.4045663221601976,14333048119.311335,263117159.00958848
2024-07-01,0.4036359206267148,14305058906.208784,258017571.91709343
2024-07-02,0.4031717196888075,14254889823.047075,257730083.36855102
2024-07-02,0.40477324989786084,14332335162.687016,260951915.21389014
2024-07-02,0.4059616096779875,14366303710.46499,256063927.20568207
2024-07-02,0.40599442886090326,14355484328.604752,250389904.61406025
2024-07-02,0.40774260938207013,14453907825.606428,248387158.25022742
2024-07-02,0.4077297137233965,14462189400.276415,244848549.33967307
2024-07-02,0.40787733442818974,14435249401.010855,242059326.07327172
2024-07-02,0.40612427383333966,14395593429.76827,241896215.31734097
2024-07-02,0.4066245920889247,14401028973.0747,244012520.20037675
2024-07-02,0.4086639090711276,14478768414.663742,243013638.57510173
2024-07-02,0.4085564455894321,14498659773.126854,242517035.0165001
2024-07-02,0.4122289998943183,14605077891.131939,247922116.01425406
2024-07-02,0.4152337396536447,14705103793.607552,249431584.18925577
2024-07-02,0.41591522433461037,14734580185.017954,262002544.66657162
2024-07-02,0.4142456223318162,14707799357.12016,276006637.59082115
2024-07-02,0.4133230079499354,14649659541.486843,272186438.7707337
2024-07-02,0.41241647309206425,14625911044.53994,269874489.94242054
2024-07-02,0.4119441244427764,14602834599.050545,264466006.9940453
2024-07-02,0.41343781216106024,14626285087.956976,261911581.86983222
2024-07-02,0.41681873568240313,14773816217.15368,263059010.33177415
2024-07-02,0.4168675460778227,14773134944.871027,258432319.27496505
2024-07-02,0.4181831041931941,14817222637.62629,265283842.65666282
2024-07-02,0.4175153191562623,14816038336.936872,263470926.14495605
2024-07-02,0.418989680068622,14825381809.640715,261753148.78784657
2024-07-03,0.4174072422349273,14788214926.92888,259226764.96151036
2024-07-03,0.42145272153226865,14921616006.446062,265022477.12368166
2024-07-03,0.4177725411840386,14805206558.395193,275399677.8918739
2024-07-03,0.4185591232758393,14846006519.662718,276587321.99140686
2024-07-03,0.4143036260430175,14721947570.021217,284025883.28673923
2024-07-03,0.411359349365332,14571093667.548227,286609165.4269176
2024-07-03,0.41465612024736276,14662940613.787884,293435449.223865
2024-07-03,0.41603248673581505,14743541745.634186,293748965.2884556
2024-07-03,0.41480066338177424,14706994181.217617,294828189.5711527
2024-07-03,0.41367144646712434,14644789004.477476,294710763.42228585
2024-07-03,0.41228981061458336,14638273736.917662,307888938.5286254
2024-07-03,0.4070445205830004,14425022258.79777,318937624.86829495
2024-07-03,0.40642591529903216,14412052719.83947,324285396.016585
2024-07-03,0.40266129453742133,14302490446.009228,324162479.2164005
2024-07-03,0.4110847410870699,14568201365.147562,328671247.4189035
2024-07-03,0.40620708061258143,14395344693.80709,320394046.7355702
2024-07-03,0.4064943080766675,14375620633.459555,321890502.1875179
2024-07-03,0.40867807225411357,14489667710.807318,324709712.5424947
2024-07-03,0.4069464420407428,14369087056.495758,329267618.92765653
2024-07-03,0.40788349174413047,14441547910.922964,338525245.46525264
2024-07-03,0.4029433360145216,14276045875.390015,348910395.1392065
2024-07-03,0.4005416918421695,14194572161.601316,349931734.96732986
2024-07-03,0.4078687412100762,14446240948.158625,362719375.1300058
2024-07-03,0.40637823680317603,14401410201.962126,366447525.41031057
2024-07-04,0.4061809551506396,14388819255.478088,388074477.85141605
2024-07-04,0.4114989473818325,14569709093.52215,433380779.1288498
2024-07-04,0.3921331927860086,13844323861.801273,481199209.54439926
2024-07-04,0.3967428850950229,14077855879.042511,494124700.557077
2024-07-04,0.39628363833476066,14022494926.338766,489007373.0758982
2024-07-04,0.3943244587805396,13984031538.580147,490673895.06870496
2024-07-04,0.3947248572580968,13960359988.573574,488218462.4781425
2024-07-04,0.3936578263124438,13883448056.8932,500646693.5356968
2024-07-04,0.3951284040772595,14010551666.45995,508895587.1535168
2024-07-04,0.3911992144422011,13891708429.989954,516800339.45753884
2024-07-04,0.39356741738582335,13994683781.563944,525319327.3743466
2024-07-04,0.39170898618794164,13845844068.586359,506675013.75145084
2024-07-04,0.3890947273607286,13806047455.50494,496377270.7525167
