Date,Price (USD),Market Cap,Volume
2024-06-30,144.1194549121156,66604849486.14125,1586943335.4374802
2024-06-30,146.90031433396936,67866855223.316055,1749004304.8350713
2024-07-01,146.2824771967103,67675125124.59939,1707340199.4591112
2024-07-01,147.614442637225,68147557879.972115,1826957037.901563
2024-07-01,148.10212046402324,68489096752.72812,1906532217.5878174
2024-07-01,147.11958413861777,68186734978.77383,1853641731.676957
2024-07-01,147.43945464981837,68199991596.20982,1880284270.838953
2024-07-01,147.29438013353592,68214054671.89749,1956460940.351908
2024-07-01,147.84051680348432,68430297046.43339,1847832689.4019797
2024-07-01,147.52231633996567,68331741101.84433,1939792583.0403707
2024-07-01,148.10545084608202,68629781935.58004,1884002467.2312174
2024-07-01,147.3779843960396,68187983035.31594,1821820928.6497838
2024-07-01,147.56708329677411,68274500194.08383,1812834328.979549
2024-07-01,146.41762661920805,67913690783.44744,1849490293.661872
2024-07-01,145.89279035399161,67579941068.424934,1984481283.2361038
2024-07-01,147.17849947004672,68003437300.92094,1913343911.0985262
2024-07-01,147.029511223201,68037690875.45614,1988212005.5664861
2024-07-01,147.79671604107875,68186859605.96706,2137452486.2471497
2024-07-01,148.5763380622857,68566539707.83612,2172864852.315608
2024-07-01,147.67845692895037,68325768121.92372,2118238444.1748817
2024-07-01,148.45279214459453,68342802817.28846,2237426063.499099
2024-07-01,147.30173417627344,68137606738.98779,2248010331.7429047
2024-07-01,147.12491072916785,68069542817.84999,2167526992.699666
2024-07-01,147.40056497899093,68196999039.60964,2178606496.223209
2024-07-01,147.38935390748875,68224122215.548256,2081437789.1254725
2024-07-01,146.6439159192261,67844693124.49094,2007622929.7054596
2024-07-02,146.34737782842973,67673065514.69488,2006890597.1463182
2024-07-02,147.293882361654,68053914745.62317,1973851675.4938164
2024-07-02,147.73797494013357,68312973609.41035,1852790909.9780154
2024-07-02,148.8913639325905,68853530178.02916,1800467854.057618
2024-07-02,149.05530160959333,68991142697.37738,1827248563.9966953
2024-07-02,148.79779090443085,68902771700.94984,1928535878.6295364
2024-07-02,148.82226327922126,68854728133.60857,1922970980.8129628
2024-07-02,147.31588014494633,68203367033.94746,1933605684.3614604
2024-07-02,147.17290238129556,68090304338.06429,1951462839.850903
2024-07-02,147.83908214222785,68417274903.25112,1891418529.4587593
2024-07-02,147.70143192455257,68555503161.41416,1892253756.244883
2024-07-02,148.3706348263082,68660169918.535065,1853351116.8337607
2024-07-02,149.46095701741376,69180221295.2716,1863866180.076014
2024-07-02,150.44759259749262,69538881713.77191,1979318992.1637785
