Date,Price (USD),Market Cap,Volume
2024-06-30,390.1546050714056,7685575203.6946945,131766325.442921
2024-06-30,394.1604753475667,7778398028.765815,133550263.91567926
2024-07-01,391.82101376479665,7739745064.260429,140084327.68933752
2024-07-01,393.26736510440514,7748949192.021783,140947891.58695364
2024-07-01,397.84611043717643,7843675950.103567,143709767.7939216
2024-07-01,394.5595162373748,7784684343.761283,142323425.21998045
2024-07-01,394.1814025635048,7768098113.739145,149651889.9499083
2024-07-01,392.66814401740646,7743380683.922705,151514474.00745434
2024-07-01,392.4717633809955,7742219300.148143,151226726.91751984
2024-07-01,390.5547686028419,7703191795.73175,149385139.56062058
2024-07-01,390.0180502752667,7694897154.636998,143850150.76634014
2024-07-01,392.0065015514465,7721837601.852802,145691444.7594345
2024-07-01,390.0376075953883,7696312478.578555,151533285.74826685
2024-07-01,388.82609311794096,7674940368.773744,153538399.82987845
2024-07-01,387.8156477809958,7667054896.865338,153462475.88259447
2024-07-01,388.0353058426634,7648101425.417542,154127766.09771392
2024-07-01,387.15772824544,7644985982.121154,156424215.84847963
2024-07-01,388.7900689180389,7669352735.188855,156902007.26991808
2024-07-01,388.24412380456977,7633920450.643023,162211109.65235233
2024-07-01,388.21073898183204,7661337205.140333,162856286.45137772
2024-07-01,391.0709369899733,7726998079.6328745,164607210.05408382
2024-07-01,389.98042303416173,7693909887.232754,164399711.10604727
2024-07-01,388.96111948786086,7676814373.41838,164714462.29358092
2024-07-01,388.3310285184882,7662396515.490227,160150803.2088324
2024-07-01,386.14054878066503,7618226040.706103,161134216.28584477
2024-07-01,384.39008341559446,7586058298.09949,157502155.00422597
2024-07-02,383.278829904395,7568398142.9315405,157632932.7854149
2024-07-02,383.40137315063004,7559358542.476596,154008979.6706776
2024-07-02,384.32739776693586,7580922050.044341,148955605.06229255
2024-07-02,384.1767783120286,7577032315.222381,145447459.68848282
2024-07-02,385.592663655598,7607917313.333039,147301022.41182548
2024-07-02,387.36895469233684,7643509273.419014,150155311.31607187
2024-07-02,387.9438498125562,7653068908.094655,153428893.0262537
2024-07-02,387.15230217696296,7651573505.203948,155424185.48412803
2024-07-02,385.6384049852789,7601165188.411203,155178451.5065691
2024-07-02,385.8461326320426,7608874654.894437,148329923.03560618
2024-07-02,384.5242710396459,7592197083.868794,147250369.92746386
2024-07-02,386.1873273004751,7617275140.334883,144715857.62789288
2024-07-02,386.018339152967,7613605213.201148,143766260.0091676
2024-07-02,387.44143497698644,7644049595.99096,143510960.0131388
2024-07-02,385.0395147447048,7602836527.616445,144527538.9360282
2024-07-02,380.4142338709236,7502703545.565872,149442291.40514904
2024-07-02,378.92839876136935,7482514640.956832,148666759.6726611
2024-07-02,379.8622961452825,7496872104.680176,148580612.66697854
2024-07-02,381.5148147408974,7522469783.417202,146732151.04671836
2024-07-02,382.63880240671136,7551392186.239213,148899092.95244074
2024-07-02,382.18563790774067,7532616243.958776,146664199.73843116
2024-07-02,380.8902775804069,7527828131.484682,144776444.31908214
2024-07-02,381.8972788339204,7536615164.37994,144934994.95767188
2024-07-02,382.6539876464966,7547528193.006216,140967851.89020726
2024-07-03,381.9218898486326,7527861387.921099,141773075.58541963
2024-07-03,378.80637471083577,7465391430.004518,137617977.07111374
2024-07-03,376.4369786702092,7432774963.248369,146870376.3427056
2024-07-03,373.91360411090443,7383053133.915789,146871536.62037274
2024-07-03,373.52124533337945,7368825407.60605,149963705.80882752
2024-07-03,374.36049863634764,7375029661.894155,144071700.02163905
2024-07-03,375.4017663156002,7398459995.791971,142281087.86428
2024-07-03,374.79443936200784,7393040863.280753,140578983.234515
2024-07-03,374.0695799958404,7379717684.282792,142564839.44203553
2024-07-03,375.41722190385997,7402645563.703564,144899556.9909351
2024-07-03,374.582451504962,7390959034.197262,146723260.76536167
2024-07-03,372.7534999281132,7358770911.643163,176424525.91334984
2024-07-03,372.105615054165,7340990236.075418,268681725.33313227
2024-07-03,371.54052624637626,7308009844.350956,273564488.62601584
2024-07-03,374.1809528600683,7384837325.278158,272640031.4637059
2024-07-03,373.0893103058967,7338923302.8575945,264727180.211293
2024-07-03,372.56332513782843,7338772341.539496,262552808.13386354
2024-07-03,374.188843875954,7376060037.855537,267080716.38648114
2024-07-03,374.4159189347256,7383063938.337209,267979671.96270376
2024-07-03,371.99687921167356,7320970455.591864,266942616.0804047
2024-07-03,371.1213775663799,7329070306.013279,266474419.07254133
2024-07-03,372.2003873801162,7340056773.005859,272450708.3279093
2024-07-03,372.2764092393153,7344161787.04524,274603366.7138583
2024-07-03,372.78426642807744,7354293999.944105,275062157.2740328
2024-07-04,373.1588100601516,7358090520.8027115,276135010.5167457
2024-07-04,370.85539378860966,7324852199.305255,282174156.0430987
2024-07-04,357.53342368686543,7060709097.617976,300990432.4261211
2024-07-04,361.38396609039654,7120049528.467654,193252610.2689415
2024-07-04,362.20382771507724,7147714786.793336,301254568.454872
2024-07-04,362.0094037315379,7147049183.560373,302310135.97376865
2024-07-04,362.55344487929256,7157878993.040587,303346210.78863263
2024-07-04,359.26171987484736,7087065315.533086,308387689.1552877
2024-07-04,358.7130628955473,7070318145.951367,309286175.5338967
2024-07-04,348.2193446144692,6896149967.569409,322378229.5266171
2024-07-04,346.4966876196831,6832153430.595475,339203683.9718396
2024-07-04,349.0603042130177,6892177611.2550335,318403978.74438095
2024-07-04,344.3631633482138,6796132836.684445,236387341.5625182
2024-07-04,341.51684119852115,6718732103.977007,245125053.21349522
2024-07-04,343.43534918065575,6776408106.985238,256416279.1622679
