Date,Price (USD),Market Cap,Volume
2024-06-30,28.430588727931156,11200947753.533592,246656151.79302713
2024-06-30,29.334427520051893,11481055568.66779,272482266.68666667
2024-07-01,29.339843358054136,11557443900.4239,289502341.02153856
2024-07-01,29.65288912461375,11679994175.50782,302021406.1567836
2024-07-01,29.775281670684766,11710172769.230684,303934086.34003425
2024-07-01,29.690869253147977,11685454988.146282,309632554.2091714
2024-07-01,29.88308588203029,11785198656.261557,310153656.6916661
2024-07-01,29.730834789984744,11729225486.906416,308067796.22609025
2024-07-01,29.768603533076924,11730863916.935972,316986670.9113532
2024-07-01,29.719729242003737,11721615196.03232,318588959.20504373
2024-07-01,29.745386214343352,11757963855.199678,308830732.04435664
2024-07-01,29.88410538518446,11777985128.285221,309229975.22085655
2024-07-01,29.903294942763786,11785563275.569551,317026494.3189186
2024-07-01,29.9268232823891,11807451195.285976,337841900.7330273
2024-07-01,29.71870759662391,11697157780.443802,351113982.1092413
2024-07-01,29.727158462300178,11678674507.400494,352795890.57961506
2024-07-01,29.57664281214668,11656854147.453756,343269996.5244759
2024-07-01,29.73011838345708,11703192603.80667,375010481.5445428
2024-07-01,29.764772198353562,11727415147.903587,368368501.7780314
2024-07-01,29.635862201761963,11680420333.813993,370834586.5736713
2024-07-01,29.807918256494666,11711322137.905802,363802438.90116733
2024-07-01,29.677025636530495,11696672860.643133,382014968.42019945
2024-07-01,29.534009088662266,11640350796.448841,382233524.93124604
2024-07-01,29.422888241808753,11596426943.477518,339270592.8111977
2024-07-01,29.24760752931422,11531102021.084518,336289332.47990817
2024-07-01,28.953912481345974,11399011462.156857,345106245.796997
2024-07-02,28.766428411022424,11368222451.942879,339593655.8503152
2024-07-02,28.643885277646294,11330160060.111511,345369711.9640826
2024-07-02,28.65667990363716,11293657690.914669,318105917.0769847
2024-07-02,28.5203450508193,11227616566.053366,336307136.920715
2024-07-02,28.60301468641608,11286611905.13806,317385483.0433413
2024-07-02,28.520810823920616,11242348829.389204,317777974.1298181
2024-07-02,28.447597268610792,11208175325.540127,316951380.3375652
2024-07-02,28.244776642348285,11132817749.101576,337696531.1199566
2024-07-02,28.130693254162896,11092202144.746275,347186107.9317035
2024-07-02,28.200426352479777,11115525585.586563,322387455.56395733
2024-07-02,28.21493482505515,11121246109.77768,340641748.01227856
2024-07-02,28.320995277387162,11163054870.336689,316947473.615795
2024-07-02,28.205842359309887,11147348800.02591,303415803.3437705
2024-07-02,28.30578664620764,11152199726.878487,329971681.3380499
2024-07-02,28.281942673711374,11129962348.16841,323982924.08405584
2024-07-02,28.27491199614148,11152289638.996952,323185174.60528404
2024-07-02,28.267612785540177,11142412923.909689,323224597.747327
2024-07-02,28.193794906027563,11142039109.773932,292531591.5631253
2024-07-02,28.45024732582039,11178845399.549156,319490941.10524184
2024-07-02,28.661877457172885,11305487198.412386,325605533.5322564
2024-07-02,28.682177797289814,11291678465.698378,313689482.51359886
2024-07-02,28.53476062077787,11272165866.982256,314315102.4754884
2024-07-02,28.325938730051803,11167419021.107214,302916908.07734865
2024-07-02,28.71238016352258,11319845934.941458,302286183.953699
2024-07-03,28.759184275076098,11319356649.888487,298254258.373174
2024-07-03,28.657511282555078,11294704661.534721,287099309.6167795
2024-07-03,28.30571083635703,11167194991.099234,278542341.592074
2024-07-03,28.34159151668372,11183986269.718601,298921528.9317643
2024-07-03,28.095992168125356,11076403010.453354,316205640.9353405
2024-07-03,27.976962710271028,11016712269.959623,315339361.55899674
2024-07-03,28.036521457912414,11058725349.29172,310612043.8262965
2024-07-03,27.974084037875567,11045200935.194544,309369770.5328575
2024-07-03,27.70201523829994,10925764400.027473,305982013.735349
2024-07-03,27.64324158999746,10892532080.398233,318444192.508882
2024-07-03,27.5358837908366,10849189413.933414,319630899.5941724
2024-07-03,27.206260014552125,10729359944.475931,339915528.56737465
2024-07-03,27.13861299265126,10697723525.301964,344217148.97445047
2024-07-03,26.845021639576256,10612688160.290207,347858023.954917
2024-07-03,27.195591081595182,10720210674.627476,353393654.67829657
2024-07-03,26.84353821723835,10627601449.11688,342268979.01203966
2024-07-03,26.891372036185864,10591903285.798815,324178721.3284859
2024-07-03,26.92518867651654,10615989468.752666,357478135.60836434
2024-07-03,26.789187362745952,10536919987.379145,372831735.6321487
2024-07-03,26.861946297483204,10605787417.297955,376505337.0330944
2024-07-03,26.504922686940276,10434376056.343966,379813442.2674528
2024-07-03,26.509043411367504,10449642464.653755,389226155.53552336
2024-07-03,26.73569879038614,10560514658.503313,388720491.42837095
2024-07-03,26.557106163085297,10501179987.318863,387675671.8766593
2024-07-04,26.484094112283117,10439637359.717737,396687453.2393564
2024-07-04,26.610672261625123,10474815909.526756,410322245.767334
2024-07-04,25.807909820000486,10125770359.70951,481346987.9517647
2024-07-04,26.153244196026264,10302417535.08676,411567282.74690443
2024-07-04,26.18621365598405,10323304302.765705,400146282.2287806
2024-07-04,26.00793670548087,10260207290.355047,480231764.37658745
2024-07-04,25.969537467428427,10231717131.585527,463428736.39505726
2024-07-04,25.779723947526964,10168501960.892422,482968194.6993233
2024-07-04,25.616186632401078,10103833954.696646,475517618.85564435
2024-07-04,25.945643033283478,10227637460.269636,493785156.6599268
2024-07-04,25.900144519989066,10209706517.494717,493850081.53790325
2024-07-04,25.934456897625683,10223367498.58871,478572769.1501505
2024-07-04,25.851347491661294,10201690632.23786,475391589.90916944
2024-07-04,25.15881923919043,9917736856.814087,448183143.9307638
2024-07-04,25.435871334177726,9940702279.327862,456077060.42299247
2024-07-04,25.300535983561996,9973614861.649588,451185748.47509134
