Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
21,Shiba Arab army™,"Shiba Inu is the best digital currency because this man supports it. Do as @VitalikButerin did and burn #SHIB through the petition. Let's get rid of half of the supply as well.

🔗 https://t.co/ANJKuNSkft ✍️

#SHIB #SHIBARMYSTRONG #SHIBCommunity #shibaarab_army #shib https://t.co/r4qjkywSvv",Thu Aug 01 14:22:02 +0000 2024,76,207,shiba inu best digital currency because man supports do as did burn shib through petition lets get rid half supply as well shib shibarmystrong shibcommunity shibaarab_army shib
22,CRYPTO SHIB,"HAPPY 4TH BIRTHDAY TO LOVELY #ShibaInu  🎂 
Where are you #SHIBARMY , show your ❤️ to $SHIB 

#1centdream #shibaArmy #SHIB #Shibarium #shiba #SHIBARMYSTRONG https://t.co/zDIQr2J1bv",Thu Aug 01 14:17:42 +0000 2024,38,218,happy th birthday lovely shibainu where are shibarmy show your shib centdream shibaarmy shib shibarium shiba shibarmystrong
23,SHIB POSSESSOR,The Biggest $SHIB Green Candle Is Coming Just Wait And Watch #SHIB Dreamer ⏰🚀 Let's Go #SHIBARMY 🚀 https://t.co/0sr5aD441Z,Thu Aug 01 12:47:02 +0000 2024,22,165,biggest shib green candle coming just wait watch shib dreamer lets go shibarmy
24,U.Today,Shiba Inu has witnessed a massive surge of 56.12% in one of the most crucial metrics #ShibaInu #Shiba #SHIB #ShibArmy #ShibPrice #Shibarium https://t.co/HbJurlJPEm,Thu Aug 01 12:23:04 +0000 2024,23,128,shiba inu has witnessed massive surge one most crucial metrics shibainu shiba shib shibarmy shibprice shibarium
25,U.Today,"Shiba Inu (SHIB) turns 4 years old, while price history screams bullish #shibainu #shib #shibarmy #shibtoken #shibarium #shibaeternity #shibburn $shib $bone https://t.co/boFalP15M8",Thu Aug 01 11:53:50 +0000 2024,30,146,shiba inu shib turns years old while price history screams bullish shibainu shib shibarmy shibtoken shibarium shibaeternity shibburn shib bone
26,U.Today,.@Shibtoken burning might set new pace for price surge #ShibaInu #SHIBA #SHIB $SHIB https://t.co/UQjciMpudF,Thu Aug 01 10:03:31 +0000 2024,34,199,burning might set new pace price surge shibainu shiba shib shib
27,SHIB POSSESSOR,"I’m buying more #SHIB today‼️
#Shill me your best #1000x gem 💎 https://t.co/2kq6MDXt0a",Thu Aug 01 07:21:53 +0000 2024,15,156,im buying more shib today shill me your best x gem
28,Lola,"Happy Birthday #SHIB 
August 1 

Wishing all #SHIBARMY a great success
We should get a little party pump right?",Thu Aug 01 05:51:08 +0000 2024,73,348,happy birthday shib august wishing all shibarmy great success we should get little party pump right
29,Shibburn,"🔥🔥🔥 379,473,801 $SHIB tokens have been burned in the month of July with 178 transactions. #SHIB https://t.co/7E7gPbbk4U",Thu Aug 01 04:02:10 +0000 2024,47,301,shib tokens have been burned month july transactions shib
30,Lola,"ETH is not moving against BTC 
Solana is the only one moving 

#BNB needs to move up
#XRP needs to move up 
#SHIB needs to move up
#DOGE needs to move up

We need this for ALTSEASON
unless we will just wait for BTC to move higher
accept it, market changed without CZ 😂",Thu Aug 01 03:28:08 +0000 2024,22,141,eth moving against btc solana only one moving bnb needs move up xrp needs move up shib needs move up doge needs move up we need altseason unless we will just wait btc move higher accept market changed without cz
31,Lola,"All markets from stocks and crypto are disappointed that FED didnt cut the interest rate today but a cut can happen on transitional September as we start a new Fiscal Year on October . 

I am still bullish for #SHIB and crypto this market cycle although we might need to expect https://t.co/hpEPz6Xpaw",Thu Aug 01 02:04:55 +0000 2024,24,151,all markets from stocks crypto are disappointed fed didnt cut interest rate today but cut can happen transitional september as we start new fiscal year october am still bullish shib crypto market cycle although we might need expect
32,SHIBKIND 🔥,"Wen #Shibarium L2?

#Shibarium #shib #bone #BTC #Eth #crypto $CENT https://t.co/2S6YVaPGOA",Wed Jul 31 23:13:24 +0000 2024,24,126,wen shibarium l shibarium shib bone btc eth crypto cent
33,JustAMillionaire 🗿,"@army_shiba For the second time. ❤️‍🔥

#Kendu will be the first $100B Meme coin. 💯🔥

Nobody is ready for @KenduInu is about to do. There is no amount of #Bullish feelings that can describe Kendu. 🪖🍸
#shib #Pepe 

Kendu is going to make History 📝 https://t.co/4GjNRJvVds",Wed Jul 31 17:34:13 +0000 2024,48,138,second time kendu will be first b meme coin nobody ready about do there no amount bullish feelings can describe kendu shib pepe kendu going make history
34,BONE SHIBASWAP.,"The growth potential of $BONE is tied to several factors:

Ecosystem Development: The expansion of Shiba Inu and ShibaSwap can increase demand for BONE. 📈

Adoption and Utility: New features and applications can boost its value. 🚀 @_RichardTeng @binance
#Shib #BONE #ShibaSwap https://t.co/ht7LP2KUh9",Wed Jul 31 17:29:10 +0000 2024,43,150,growth potential bone tied several factors ecosystem development expansion shiba inu shibaswap can increase demand bone adoption utility new features applications can boost its value shib bone shibaswap
35,Lola,Good Morning #SHIB 😍,Wed Jul 31 16:58:58 +0000 2024,11,129,good morning shib
36,U.Today,"$XRP rallied 60,000% last time this happened, here's how many $SHIB U.S. government holds, #Ethereum ICO wallet moves millions in $ETH: Crypto news digest by https://t.co/jsqU2ZIkVi #XRP #XRPArmy #XRPcommunity #SHIB #ShibaInu #SHIBArmy #ETH https://t.co/gSQhGPbZMM",Wed Jul 31 16:13:48 +0000 2024,21,133,xrp rallied last time happened heres how many shib us government holds ethereum ico wallet moves millions eth crypto news digest xrp xrparmy xrpcommunity shib shibainu shibarmy eth
