Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
17,TON 💎,"""Web3 game @thenotcoin announced that it will launch a story-driven Web3 game in collaboration with non-fungible token (NFT) collection @LostDogsCo and The Open Network (#TON)-based NFT marketplace @getgemsdotio.""

Via @Cointelegraph ⬇️

https://t.co/XTnQjuQbGj",Thu Aug 01 10:30:28 +0000 2024,421,844,web game announced will launch storydriven web game collaboration nonfungible token nft collection open network tonbased nft marketplace via
18,Hamster Alerts,"Guess the #HamsterKombat Listing Price! 🚨

The closest guess will win a huge Airdrop! 🎉

Options:

🔹 $0.05
🔹 $0.1
🔹 $0.5
🔹 $1
🔹 $2
🔹 $5
🔹 $10

To enter:
1. Follow Us
2. Repost this tweet 🔁

#hamsters #ton #Tapswap #HamsterAlerts https://t.co/QbBGA1VcP6",Thu Aug 01 08:05:06 +0000 2024,587,1160,guess hamsterkombat listing price closest guess will win huge airdrop options enter follow us repost tweet hamsters ton tapswap hamsteralerts
19,NakamoTON,"How do you sell $TCANDY ?

Drop a shill line in the comment . 

CA :EQCkcgdhxYgdg4TtHL_aydnoRyLcJrCqZI_AJsD_4cuIttaG

Join the exclusive community :https://t.co/ul3xgI5shi
🍬 #TON https://t.co/xfHU5SzclY",Wed Jul 31 15:26:41 +0000 2024,34,80,how do sell tcandy drop shill line comment ca eqckcgdhxygdgtthl_aydnorylcjrcqzi_ajsd_cuittag join exclusive community ton
20,Hamster Reward,"Airdrop airdrop airdrop 🚀🚀🚀

Just drop your #Ton address and check your wallet in next 24 hours ⏰ 

Follow us and repost this ✅

#HamsterKombat #Hamsterreward https://t.co/HMAVA32pkM",Wed Jul 31 14:57:38 +0000 2024,1944,3412,airdrop airdrop airdrop just drop your ton address check your wallet next hours follow us repost hamsterkombat hamsterreward
21,Daniel Veroc ⚡️#EGLDSqueeze,"I don't know who wants to hear this, but there is no such thing as second best.

After my 10,000+ hours analysis, #EGLD is far better in every aspect than #ETH #SOL #TON #NEAR #SUI #AVAX #BNB #XRP.

Do you think I'm right? If not, tell me why. Show me your investment thesis 👇",Wed Jul 31 13:15:22 +0000 2024,29,93,dont know who wants hear but there no such thing as second best after my hours analysis egld far better every aspect than eth sol ton near sui avax bnb xrp do think im right if tell me why show me your investment thesis
22,TON 💎,"📚💎 TON Learn #1: TON Staking Explained 💎📚

Discover what is staking, the advantages of staking on #TON, how to start, and more! ⬇️

https://t.co/cTh44JnlSZ",Wed Jul 31 11:37:02 +0000 2024,350,540,ton learn ton staking explained discover what staking advantages staking ton how start more
23,Web3_Vibes,"#Catizen interview for #TON, Highlights: 😺

☑️ Average revenue per Catizen player is almost $30. This is 150 times more than the average in crypto Space

☑️ Delaying the airdrop was a difficult decision but it was necessary for 27M Catizen users to benefited

☑️ After the https://t.co/ByuJOIgVhU",Wed Jul 31 10:49:09 +0000 2024,27,325,catizen interview ton highlights average revenue per catizen player almost times more than average crypto space delaying airdrop was difficult decision but was necessary m catizen users benefited after
24,TON 💎,"In the latest edition of TON Innovators, we interview @CatizenAI, one of the most popular and largest Web3 games. 😼

Discover how Catizen leverages #TON and Telegram to achieve impressive results, learn about their future plans, and get answers to recent community concerns — https://t.co/JwuEzcT5Ru",Wed Jul 31 10:00:13 +0000 2024,405,1107,latest edition ton innovators we interview one most popular largest web games discover how catizen leverages ton telegram achieve impressive results learn about their future plans get answers recent community concerns
25,Chorus One,"Introducing Chorus One SDK: The all-in-one toolkit for building staking dApps🔥🛠️

Today, we're proud to share Chorus One SDK, the ultimate toolkit for our customers to effortlessly build native staking dApps across all major networks, including #ethereum, #ton, #solana, https://t.co/gyMNWmiRhV",Wed Jul 31 09:52:30 +0000 2024,35,610,introducing chorus one sdk allinone toolkit building staking dapps today were proud share chorus one sdk ultimate toolkit our customers effortlessly build native staking dapps across all major networks including ethereum ton solana
26,$MEME TOKEN | TRON,"Gm, memers! Say it back. 

We are moving to a next stage today, this is a very important day for the team, because it's time to get bigger and invite new friends to our brand. #memerswillmakeit LFG 💎

#TON #ton #TONCHAIN #TonEcosytem https://t.co/A0ThLmH9pD",Wed Jul 31 09:38:20 +0000 2024,5,58,gm memers say back we are moving next stage today very important day team because its time get bigger invite new friends our brand memerswillmakeit lfg ton ton tonchain tonecosytem
