Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
21,For his 🐝 & his 👼🏻,"#Shun said that #Dai doesn't fall under the short hair or bangs categories, and he mentioned wanting to go for a genre-less approach. That’s very clever of you, Shun; I see what you’re doing here🙂‍↕️

#ShunDai #DaiShun #TheBoyfriend https://t.co/Mym1N1ViPm",Sat Jul 20 20:44:09 +0000 2024,108,897,shun said dai doesnt fall under short hair or bangs categories he mentioned wanting go genreless approach thats very clever shun see what youre doing here shundai daishun theboyfriend
22,sistasangen,"Dragon Age Inquisition                                                  

#VPRT #VirtualPhotography #DAI #DragonAge https://t.co/jtwgd7hVmZ",Fri Jul 19 11:59:19 +0000 2024,8,88,dragon age inquisition vprt virtualphotography dai dragonage
23,chicoᝰ.ᐟ,"When you still confused about your feelings but your eyes know the answer ,
#TheBoyfriend #daishun #dai https://t.co/lTulL7NmcS",Thu Jul 18 17:56:09 +0000 2024,139,1204,when still confused about your feelings but your eyes know answer theboyfriend daishun dai
24,越 🐻‍❄️🍓,Simping on this man so much n’ now I’m thinking what if Shun saw all of our simp posts of Dai and throws his man out of room then Dai’ll be like ‘baby what did I do wrong?’ Lmao 😭 he’ll sure be asking with a lot of question marks on his head #TheBoyfriend #Daishun #Dai https://t.co/1p6P6uJgh1,Thu Jul 18 13:38:59 +0000 2024,49,496,simping man so much n now im thinking what if shun saw all our simp posts dai throws his man out room then daill be like baby what did do wrong lmao hell sure be asking lot question marks his head theboyfriend daishun dai
25,chicoᝰ.ᐟ,"Eyes are LOUD,
#theboyfriend #shundai #shun #dai https://t.co/lbQ4CP6PTz",Thu Jul 18 10:11:48 +0000 2024,92,1172,eyes are loud theboyfriend shundai shun dai
26,ʚ🍓ɞ 𝒓𝒊𝒔𝒌𝒂,"teenage dai was really cute, who knew that innocent face would grow up to be such a heartthrob 💕

#TheBoyfriend #Dai https://t.co/hZZaMwZ51i",Thu Jul 18 08:56:24 +0000 2024,62,686,teenage dai was really cute who knew innocent face would grow up be such heartthrob theboyfriend dai
27,Netflix Philippines,"Not the chicken breasts making me cry the most 😭 

#TheBoyfriend #Alan #Dai #Gensei #Ikuo #Kazuto #Ryota #Shun #Taeheon #Usak #Netflix https://t.co/BNwVCUmSyo",Thu Jul 18 08:00:00 +0000 2024,77,589,chicken breasts making me cry most theboyfriend alan dai gensei ikuo kazuto ryota shun taeheon usak netflix
28,🍑 🎀 𝒷𝓋𝓃𝓃𝓎𝒹𝒶𝟣𝓈𝓎 🎀 🍑,"#dai liking a comment about him and Shun, and #shun liking a shipping video abt him and dai. They’re not even trying to hide lmao #theboyfriend #TheBoyfriendNetflix https://t.co/y5XoVgdrkP",Thu Jul 18 01:09:21 +0000 2024,90,790,dai liking comment about him shun shun liking shipping video abt him dai theyre even trying hide lmao theboyfriend theboyfriendnetflix
29,sistasangen,"Dragon Age Inquisition                                              

#VPRT #VirtualPhotography #DAI #DragonAge https://t.co/EFWhoac0DO",Wed Jul 17 13:07:09 +0000 2024,5,59,dragon age inquisition vprt virtualphotography dai dragonage
30,chicoᝰ.ᐟ,"For me, the best part of the episode 6 was when Day came and asked ryota , gensei,shin if they wanted to drink water ,I mean, just say you came to see shun .
#theboyfriend #shun #dai #DaiShun https://t.co/1EpJj5itCG",Wed Jul 17 10:24:34 +0000 2024,91,1076,me best part episode was when day came asked ryota genseishin if they wanted drink water mean just say came see shun theboyfriend shun dai daishun
