Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
16,Daniel Veroc ⚡️#EGLDSqueeze,"@solver_cs I had millions of dollars in #NEAR because they were second best PoS by tech but they have terrible UI/UX, less validators nodes, I don't like their design of the ecosystem, and they don't have fully implemented sharding as #EGLD (#MultiversX), that's reason why I sell all Near. https://t.co/cKZmy91nhL",Fri Jul 19 20:07:12 +0000 2024,38,126,had millions dollars near because they were second best pos tech but they have terrible uiux less validators nodes dont like their design ecosystem they dont have fully implemented sharding as egld multiversx thats reason why sell all near
17,Near Insider,"🚨 BIG #GIVEAWAY ALERT 🚨

🎉 We are excited to announce a one-of-a-kind giveaway event for our community🎉

🎁200 $USDC for 10 winners
⏰ Duration: 72 Hours

✅ Rules:
- Follow @near_insider &amp; @Scroll_CM
- Like + RT
- Tag 3 friends

#Airdrop #NEAR $NEAR #NEARIstheBOS https://t.co/6jEyMHgCzc",Fri Jul 19 03:12:47 +0000 2024,702,715,big giveaway alert we are excited announce oneofakind giveaway event our community usdc winners duration hours rules follow amp like rt tag friends airdrop near near nearisthebos
18,Daniel Veroc ⚡️#EGLDSqueeze,"20th day✅of #EGLDSqueeze. If you want to see how much I own #EGLD &amp; #MEX on my first livestream connected to @CoinMarketCap via API live, share latest tweet with the teaser for the first video. I'M ALL IN ON THE MOST ADVANCED L1. I say NO #SOL #ETH #NEAR
https://t.co/dzH0SNiotb",Thu Jul 18 10:20:14 +0000 2024,55,167,th dayof egldsqueeze if want see how much own egld amp mex my first livestream connected via api live share latest tweet teaser first video im all most advanced l say no sol eth near
19,Daniel Veroc ⚡️#EGLDSqueeze,"Why I invested $4M+ in #EGLDSqueeze? Two theses: a quick 5-min overview and 50-min deep dive. Covered Tech, Decentralization, Scaling, GitHub, SimilarWeb, Whitepaper, Tokenomics, Team, History, Ecosystem, Validator role, and my total #EGLD portfolio💲I don't own #NEAR #SOL #ETH. https://t.co/mY9BzFu5BK",Thu Jul 18 10:06:27 +0000 2024,156,399,why invested m egldsqueeze two theses quick min overview min deep dive covered tech decentralization scaling github similarweb whitepaper tokenomics team history ecosystem validator role my total egld portfolioi dont own near sol eth
20,Masa,"Congratulations to our friends at #Bittensor (@opentensor) and #NEAR (@NEARProtocol) for being included in the @Grayscale Decentralized #AI Fund 🎉

Decentralized #AI is critical to the future of AI and humanity. It's now being fully recognized.",Wed Jul 17 14:42:23 +0000 2024,120,253,congratulations our friends bittensor near being included decentralized ai fund decentralized ai critical future ai humanity its now being fully recognized
21,Near Tinker Union | NTU,"Drop your #NEAR wallet address! 

We're sending out 70 $GEAR to one lucky Tinker 🤫",Tue Jul 16 11:56:30 +0000 2024,117,235,drop your near wallet address were sending out gear one lucky tinker
22,I'm Fine,"I've acquired additional 120,936.26 EGLD ✅ for ~$4,032,015 by exchanging my #NEAR, #TON, #ETH and #BTC for an average price of ~$33.34 per #EGLD. Purchases were made since the hashtag #EGLDSqueeze was first used on 27/06/2024. And just to be clear, I don't see a future in #SOL. https://t.co/yDgBpoU95p",Mon Jul 15 18:22:16 +0000 2024,20,102,ive acquired additional egld exchanging my near ton eth btc an average price per egld purchases were made since hashtag egldsqueeze was first used just be clear dont see future sol
23,Daniel Veroc ⚡️#EGLDSqueeze,"I've acquired additional 120,936.26 EGLD ✅ for ~$4,032,015 by exchanging my #NEAR, #TON, #ETH and #BTC for an average price of ~$33.34 per #EGLD. Purchases were made since the hashtag #EGLDSqueeze was first used on 27/06/2024. And just to be clear, I don't see a future in #SOL. https://t.co/UwafxtYDA6",Mon Jul 15 14:41:02 +0000 2024,414,987,ive acquired additional egld exchanging my near ton eth btc an average price per egld purchases were made since hashtag egldsqueeze was first used just be clear dont see future sol
24,Van💎DAM𝕏.EGLD,"☆63% of $EGLD IS STAKED

☆Fixed supply

☆No more to be released

☆What you see is what u get

☆Buy early while you can 🧠
#Solana #Ethereum #btc #ada #Avalanche #xrp #vra #near #icp

☆ DL @xPortalApp wallet immediately 

#EGLDSqueeze 🦍💎 https://t.co/EIBaESAVIg",Sun Jul 14 22:10:20 +0000 2024,44,133,egld staked fixed supply no more be released what see what u get buy early while can solana ethereum btc ada avalanche xrp vra near icp dl wallet immediately egldsqueeze
25,Meteor Wallet,"☄️ METEOR ENTERS THE MAZE 🤝

The fun puzzle game, @official_MMaze, is launching on #NEAR! As an official partner, @MeteorWallet will be the primary login wallet for Mental Maze.

Additionally, Meteor community members will have access to exclusive free games and rewards of up to https://t.co/ziYXPjOXVV",Sun Jul 14 10:41:17 +0000 2024,27,118,meteor enters maze fun puzzle game launching near as an official partner will be primary login wallet mental maze additionally meteor community members will have access exclusive free games rewards up
26,I am Morpheus 🕴🏼,🔥Let’s keep it trending! @MultiversX has by far the best PoS technology #EGLDSqueeze 🚀 #ETH #SOL #AVAX #ADA #NEAR #CRYPTO,Fri Jul 12 09:35:47 +0000 2024,21,99,lets keep trending has far best pos technology egldsqueeze eth sol avax ada near crypto
